"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Predator",20,7,2,2,3,169.817261512723,408.568152194218
"Predator",21,7,2,2,3,166.181224458453,387.672159828305
"Predator",22,7,2,2,3,190.227971438638,407.046351944385
"Predator",23,7,2,2,3,121.248220783829,348.945706121052
"Predator",24,7,2,2,3,142.286503265995,395.351096190867
"Predator",25,7,2,2,3,135.563774413059,419.241778776329
"Predator",26,7,2,2,3,153.775550337658,451.427336616929
"Predator",27,7,2,2,3,114.722669564549,441.718184692652
"Predator",28,7,2,2,3,101.949024944885,401.233589599227
"Predator",29,7,2,2,3,172.493191765081,469.202554378601
"Predator",30,7,2,2,3,104.654198390913,361.294938303999
"Predator",31,7,2,2,3,146.280207327955,387.766442741296
"Control",1,8,2,2,3,123.288481640886,490.092719443388
"Control",2,8,2,2,3,76.6010787637583,400.566652063373
"Control",3,8,2,2,3,82.4549111222294,314.190982620263
"Control",4,8,2,2,3,99.488924716492,346.999625319475
"Control",5,8,2,2,3,144.167490568918,377.631901941996
"Control",6,8,2,2,3,166.543038035707,371.584917515796
"Control",7,8,2,2,3,156.080695040881,386.378903185138
"Control",8,8,2,2,3,164.517920140262,388.748079138428
"Control",9,8,2,2,3,149.823101237928,459.66013470559
"Control",10,8,2,2,3,126.391410593142,504.914911613231
"Control",11,8,2,2,3,116.957437634413,392.902194919454
"Control",12,8,2,2,3,100.47862217057,247.782388513322
"Control",13,8,2,2,3,112.252208432215,250.275977221119
"Control",14,8,2,2,3,74.9628367137354,294.783438908662
"Control",15,8,2,2,3,137.297229728529,329.31265306119
"Control",16,8,2,2,3,141.873250766185,327.604218639535
"Control",17,8,2,2,3,123.893161686478,375.084246005189
"Control",18,8,2,2,3,89.5423931349457,443.468877915402
"Control",19,8,2,2,3,169.058160788442,381.673568792565
"Control",20,8,2,2,3,139.945403372121,372.483196561695
"Control",21,8,2,2,3,150.158706252054,372.933741404412
"Control",22,8,2,2,3,174.174889147435,435.804098401699
"Control",23,8,2,2,3,132.448178727462,369.474311797881
"Control",24,8,2,2,3,121.5567811938,417.418168785823
"Control",25,8,2,2,3,100.694020160631,384.787017786225
"Control",26,8,2,2,3,114.484618391401,423.206147282771
"Control",27,8,2,2,3,186.383792715182,483.217633298368
"Control",28,8,2,2,3,113.816210898235,463.486536280845
"Control",29,8,2,2,3,109.719918328607,466.519152697998
"Control",30,8,2,2,3,149.804845229819,338.519981520291
"Control",31,8,2,2,3,124.493534524689,378.333729710573
"Predator",1,9,3,3,2,184.484746467327,398.034430436473
"Predator",2,9,3,3,2,117.880213645351,469.939546040735
"Predator",3,9,3,3,2,89.9458138912785,440.391038656948
"Predator",4,9,3,3,2,109.776974921512,411.652490201204
"Predator",5,9,3,3,2,126.907939364638,308.091693047108
"Predator",6,9,3,3,2,96.1541361888491,407.573432450878
"Predator",7,9,3,3,2,137.555504017357,403.47650316391
"Predator",8,9,3,3,2,147.587615670792,391.318262276152
"Predator",9,9,3,3,2,153.589490863601,397.12181444671
"Predator",10,9,3,3,2,115.352281591258,386.464074734367
"Predator",11,9,3,3,2,113.355662688492,402.524186580453
"Predator",12,9,3,3,2,165.527791128338,367.892863611184
"Predator",13,9,3,3,2,109.022496164257,404.72867611732
"Predator",14,9,3,3,2,104.207173722096,363.515322550225
"Predator",15,9,3,3,2,139.00674507267,332.378293466749
"Predator",16,9,3,3,2,105.497323834164,258.407068420793
"Predator",17,9,3,3,2,93.0828700020602,333.548056369263
"Predator",18,9,3,3,2,125.949833949954,359.46203084329
"Predator",19,9,3,3,2,141.735983955809,368.372529117461
"Predator",20,9,3,3,2,218.099410948607,436.581177785037
